gene,log2FC,p-value
gene_13573,-0.959526609431086,3.62804171760711e-06
gene_13583,-0.527315153301291,2.97611935096143e-11
gene_13588,3.04336720552531,0
gene_13619,-1.98952006738271,0.00261310524097436
gene_13810,-3.81300300411497,0
gene_14123,0.268991152747253,0.248885908002435
gene_14138,-2.00269407617092,3.08063976550699e-08
gene_14164,0.0713112107754358,0.945298101066239
gene_14216,0.397336084706834,0.000522277963224904
gene_14257,0.533915381860332,0.47709924948686
gene_14641,-0.705695873853499,0
gene_14824,-0.177779935644753,0.000236445650496742
gene_14914,0.548859359032444,0.000161456196854148
gene_14919,0.502255800364988,0.00913822081037285
gene_15133,1.17367345724812,0
gene_15153,-0.606677813516531,0
gene_15171,-0.295564285508235,0.000152811451139767
gene_15285,0.884354711158609,0.147775157943982
gene_15475,1.50541109099728,2.4831914302581e-10
gene_15479,-0.137659889971634,0.912443167451274
gene_15520,2.34755288440513,0.0119995252848663
gene_15532,-0.365728991240707,0.143507122746229
gene_15568,0.752180225153799,0.243534735908899
gene_15676,0.0223037310332466,0.936471941310376
gene_16391,-1.36653800272639,0.999999999999609
gene_16402,1.56823089955598,4.46531700504238e-13
gene_16602,5.18304719119993,3.29125615650128e-12
gene_16864,0.345366675095853,0
gene_17260,-0.354951856035845,2.11129939917676e-05
gene_17373,3.83181286812993,0
gene_17483,-0.417446101794086,0.689589152040465
gene_17621,1.71637801283167,0
gene_17797,0.253100086993959,0.560650701944474
gene_18189,-0.0792308731874779,0.822820981838484
gene_18236,-2.76478953413286,7.36205540974311e-11
gene_18280,-0.411342841964191,1
gene_18408,-0.622392914864327,0.00380482010328975
gene_18510,-0.526771397649209,5.71013864969494e-07
gene_18610,0.154903853873389,0.0882067366622548
gene_18699,-1.18173443778042,0
gene_18869,0.608713655104841,0.0144892715581123
gene_19102,4.22841104931145,0
gene_19144,-1.50697095883416,1.73082349563813e-08
gene_19169,0.533231983204637,0.430231137214451
gene_19186,2.81352834715519,0
gene_19485,-0.899892346632417,0.999999999999621
gene_19549,-2.72933120740104,0
gene_19582,1.44217844085481,0.000156307149262069
gene_19995,0.13439508789892,0.0328611469615541
gene_20129,0.0624585119773219,0.864828545378664
gene_20181,-0.481735844084218,0.519233311218989
gene_20256,-0.703969063865838,0
gene_20426,-1.15180779009214,0
gene_20577,0.787510830644597,1.86534968249497e-07
gene_20922,-0.478724957106013,4.05731004349263e-12
gene_21300,4.56433101390522,2.06700447202834e-07
gene_21355,1.26320147919145,0.144923390919362
gene_21574,0.0118715061108859,0.917081370986636
gene_21645,1.23887670741628,0.332999181953476
gene_21762,-0.138475532545218,0.821841813350588
gene_21776,-0.48499687021335,7.38206685001463e-05
gene_21826,-0.981910890901297,0.030244416094704
gene_22267,-3.43005962380025,0
gene_22277,-0.320350617696151,4.03121980241394e-13
gene_22556,-0.367285516616337,0.888738554994916
gene_22567,1.72356651616588,0.315029517159873
gene_22840,0.479549556750584,0
gene_22976,-0.223873549454138,0.999999999999814
gene_23041,-0.70390546863721,6.49390344326095e-05
gene_23171,-0.311384816710209,0.510534438585846
gene_23191,-0.625028756331851,0.00296343148085865
gene_23228,-0.360996527258683,8.20260954406127e-05
gene_23287,0.571134329656641,4.89531926428644e-06
gene_23318,-0.58653756880215,0
gene_23330,0.453160137243813,0.307203410412039
gene_23445,3.94515158255184,9.99200722162641e-14
gene_23516,0.424509257369426,0.0097010081933202
gene_23572,-1.28763811483093,0
gene_23608,-1.45745645245729,0.000392767858293341
gene_23697,-0.408026925293249,1.29638360324424e-06
gene_23734,-0.778483618164619,0
gene_23839,-1.15312915990533,0.073243337649103
gene_23892,-0.616779247915987,1.12972263922595e-05
gene_23902,-0.0558056871244265,0.828448016748073
gene_23909,-2.00618494313752,8.80850947737599e-13
gene_24048,0.252289547597508,0.323812023464619
gene_24422,-1.0987001919233,0
gene_24526,-4.68869526239523,0
gene_24862,0.942378291181344,7.3945072287529e-11
gene_25039,4.46248382463807,1.11022302462516e-16
gene_25156,-0.499739510150474,0.000739751772774078
gene_25293,-0.162565954529654,0.557828055434957
gene_25423,-0.0368929456415159,0.600016818328539
gene_25434,-0.0921983834871169,0.901366910905768
gene_25708,1.48428164355783,0.131458768621338
gene_25770,-1.25873321514383,6.09508410409632e-09
gene_25772,-0.497160249882152,0.0136004846499016
gene_25796,-0.550532924889759,0
gene_25800,-0.296360935723035,1.33226762955019e-15
gene_26025,-2.96260622506028,0
gene_26036,0.242538819332859,0.752785148241934
gene_26103,-0.751673201640264,9.54608614378571e-10
gene_26297,1.02970314668191,5.55946498170812e-07
gene_26508,-2.49979918183777,0
gene_26559,-1.59972191527342,0.00818935513459584
gene_26652,-1.03893740845287,6.5305538754501e-12
gene_26751,-0.472334566325882,0.0235110598682624
gene_26950,1.8652751144142,0
gene_27001,-1.30700899035026,0
gene_27075,0.97936507619225,0.000548799873519634
gene_27697,1.30087649955485,0.00436923377837994
gene_27847,-0.198341915128986,0.604387134056085
gene_27869,-1.13502595956908,0.108699731937902
gene_28116,-0.923123256089468,0
gene_28137,3.35055988993622,0.00025426100957826
gene_28203,-0.252123790071342,0.0628854435562424
gene_28277,-4.06973199526829,1.18513399782749e-06
gene_28310,-0.0527765191001215,0.917510874699287
gene_28528,0.274410506067918,0.016986209810878
gene_28839,-0.726192783039995,2.8111709959866e-08
gene_29153,-1.58333056283601,0
gene_29363,-0.0326933037651778,0.953949211264387
gene_29364,0.541140432839061,2.66453525910038e-15
gene_29534,2.05409879160538,5.33877476127653e-06
gene_29639,-0.919408356871186,2.8199664825479e-14
gene_29725,-0.534499037175653,0
gene_29993,-1.92322034302868,0.0313413643634077
gene_30066,-0.374372820026064,0.000727559405913514
gene_30110,-0.194631900741504,0.884857084716587
gene_30419,1.34354404734256,0.00131644443310819
gene_30582,0.538570693971825,1.9625409808377e-07
gene_31003,0.649041789944719,0.0199075758578996
gene_31081,-0.272705402820875,0.68900429439163
gene_31544,-1.44646162467964,0.000141625812063451
gene_31691,-1.39166891230101,0.012741018366744
gene_31698,-0.952786529879524,0.00217671049123602
gene_31823,-0.429398812320902,0.0750431271778617
gene_32219,0.757528762093133,1.33781874467331e-13
gene_32389,-0.485658708193059,1.1040351343472e-05
gene_32444,0.0520118469012084,0.887171979187915
gene_32742,-1.04951529356135,0
gene_33011,-0.309425409742266,0.408398141128316
gene_33030,-0.486274566292223,8.93962681658422e-12
gene_33050,-1.06312158076369,2.18579709887479e-10
gene_33100,0.610856950538367,6.25614050897561e-07
gene_33122,-0.354356408595577,0.49911311823004
gene_33170,0.42043526835261,0.785499042434885
gene_33178,-0.385986966191339,0.486223794765687
gene_33327,1.84541477856985,7.78042075211260e-11
gene_33627,-0.347364903338566,0.330644610287913
gene_33800,0.784248709338862,1.9417800700694e-13
gene_33867,-0.713304787165415,5.21804821573824e-15
gene_34053,-0.29978571788167,0.720701108228431
gene_34063,-3.52559265597289,0.000477347608097256
gene_34152,0.350362416051014,0.648899328214116
gene_34239,-1.6372554058623,0.00230112203887878
gene_34510,-0.9190113133386,1.79222414686819e-10
gene_34533,-0.0474920018356763,0.799716752681755
gene_34677,1.16791022183861,0.000823738797675944
gene_34693,-0.929431146044543,2.2248076203546e-07
gene_34713,0.590222977356511,0
gene_35115,0.95348200087966,0.0541983116222921
gene_35141,-0.313179756867108,0.318213010547614
gene_35403,-0.350107572530747,0.886588144791329
gene_35499,-3.95559096800849,0
gene_35664,7.80157294206411,0
gene_35681,-0.819172386613461,0
gene_35687,-0.352279677998115,0.000925529939898695
gene_35862,3.12500280828033,0
gene_35928,-0.53293978877558,0
gene_36054,0.13268318790159,0.0587239044463332
gene_36257,-0.153726668316925,0.612119393475961
gene_36448,-0.782106800348227,0.529825904092472
gene_36549,-0.346816158687815,1.25008010384287e-05
gene_36672,-0.27230485848055,0.648171416324683
gene_37042,0.0540961595868734,0.905108307322454
gene_37241,-0.993575754574793,6.92779167366098e-14
gene_37280,-0.664905056752264,1
gene_37474,-1.00907676815891,0.00156389190900363
gene_37637,-0.157499849981714,0.232703577371153
gene_37749,-0.413092480320435,0.00121653856580284
gene_37757,0.166419105048197,0.652834348904744
gene_37897,-1.49302174499445,7.48681779849658e-06
gene_38002,-1.06515220326983,0.00149166756353225
gene_38210,-1.33523468265723,0
gene_38219,0.0475101699525695,0.940412890917466
gene_38274,0.137960506848983,0.0124015053762004
gene_38295,1.08976379144354,0.303079835077547
gene_38358,0.431989764747882,1.57867911942944e-06
gene_38382,-0.324981654844796,0.771944363236277
gene_38427,3.69401392904103,0.0241659235246314
gene_38532,0.329786175795126,0.0130908526872537
gene_39068,0.505175102428678,0.246764697124344
gene_39123,-0.161030249221239,0.764527096402276
gene_39139,1.3942615420019,0.543924977176882
gene_39319,0.225999356211079,0.724020383298573
gene_39523,-0.303192230468282,6.04238077461794e-07
gene_39560,0.161387050957572,0.814577691644595
gene_39600,0.155759383814998,0.876143117301179
gene_39650,-0.52907773195664,4.42154313162746e-10
gene_40199,-1.72760603794977,0
gene_40275,-2.55609048824143,5.45432587983896e-11
gene_40341,0.0420127734178222,0.927214874407365
gene_40487,-0.0948146582924156,0.855264227074655
gene_40531,0.379853428939288,0.406258849692171
gene_40608,-1.04002420243414,1.50248079079374e-05
gene_40633,-0.0585596826345838,0.914146014716649
gene_40731,2.16554182919979,0.0281175732985154
gene_40933,0.465500002721476,0.529725377565878
gene_41353,2.04487310249306,0
gene_41357,-0.474327680782628,0.000941191906347116
gene_41802,-0.635644644304749,0.00238419175632554
gene_41880,1.0120711302831,0
gene_41982,-2.02617628323247,0.000103310802874734
gene_41988,0.200380192381063,0.100004622982149
gene_42062,2.16726368956129,2.50819359726151e-08
gene_42088,-0.812558072666932,1.14204939172247e-07
gene_42286,1.17289040211722,1.58761892521397e-14
gene_42317,0.1974169402851,0.761596534289602
gene_42429,-0.0356076554125588,0.897649565250506
gene_42445,0.125015946040722,0.839443106913434
gene_42493,0.651956031812145,0.0138093822556289
gene_42753,-1.55143707057447,0
gene_42832,1.45187061142751,1.31878930476059e-06
gene_42980,3.45563079996476,0
gene_43039,1.86723628184231,1.41226808025863e-10
gene_43093,0.286805280401115,0.174165595496596
gene_43143,-0.0654229827394107,0.897201754497566
gene_43514,0.0697882379238005,0.89225678231598
gene_43591,1.54381831446394,0.999999999999859
gene_44090,1.28427612899503,1.32984824596782e-07
gene_44115,0.176414574302908,0.178835632622157
gene_44446,1.85964060011212,0.145663053449483
gene_44459,-2.1823111302467,0
gene_44574,-2.57837347879871,0
gene_46604,0.411547450401207,5.56472645740769e-11
gene_46647,0.0366215599730491,0.875716530719176
gene_46651,1.13542989163259,0
gene_46653,1.08250784136242,0.999929843047627
gene_47056,0.333276067429681,0.00416297048091196
gene_47188,-0.638523547347506,0
gene_47230,0.472381226259311,8.11347920687266e-05
gene_47249,-0.56044696787658,5.30147766797384e-08
gene_47315,-0.0172744740351583,0.95149380317428
gene_47346,2.51953423536313,0
gene_47365,0.317219677911143,0.483982909460768
gene_47410,-0.0625904931297741,0.924370573133131
gene_47457,9.64625263211478,9.60287405149529e-12
gene_47578,0.0903022795580273,0.818210735848419
gene_47579,-0.225366032283612,0.156252395767672
gene_47597,1.53364850719483,0.00305866372412922
gene_47621,-0.80104578862602,0.000800048776835371
gene_47634,-1.5647297000773,0
gene_47644,0.253589381562155,0.333989408532292
gene_47648,1.60932072072999,3.64535036156965e-07
gene_47662,1.17467402746287,2.26818563930919e-13
gene_47849,-0.897335129044866,0
gene_47932,-0.0790673724122479,0.894684311083844
gene_48028,-1.26462282493679,0
gene_48052,2.13501084600911,1.69946792305531e-07
gene_48140,-0.282516297672144,0.000849841393268047
gene_48162,-0.931439095654567,0.000319963375828181
gene_48342,-0.767564550743119,0.136921838004813
gene_48392,1.33966836754077,0
gene_48405,0.154839295264566,0.651670997383884
gene_48471,-0.512744887197317,0.00671316533525734
gene_48540,0.844846813815921,0.38465457699995
gene_48544,-1.50895751405331,0
gene_48649,0.572899225907551,0.0265241766539515
gene_48707,0.625687478211426,0.00147976498253155
gene_48740,-0.15493616209509,0.647973590448058
gene_48828,-0.517806787056958,0
gene_48991,-1.78874411991595,0
gene_49089,3.83637774154467,7.33026972454809e-11
gene_49130,-0.195739662563416,0.922514469379928
gene_49167,-1.02206626528302,2.41895836694539e-10
gene_49192,-3.5667922881312,0
gene_49239,0.612683882554115,0.0785407626064095
gene_49245,-0.25351888471365,0.00631701170929011
gene_49246,1.04866363384636,0
gene_49283,1.90459074012443,0
gene_49323,1.44508568190176,0
gene_49449,0.709202730790871,2.22044604925031e-16
gene_49541,-2.46352757908578,3.32267546809817e-12
gene_49618,0.582007906948311,3.40324490810673e-09
gene_49656,-0.340543108563911,0.0100572171406349
gene_49759,0.780242662023931,0.0158483828626046
gene_49768,0.122245226470824,1
gene_49769,2.05234737281937,1.02180819361308e-10
gene_49860,-0.493867820149816,0
gene_49883,-1.14678244998293,0
gene_50130,0.261073931033066,0.0633848681421081
gene_50165,-3.55824202566624,0
gene_50327,-0.0406505682178006,0.884912011230559
gene_50344,-0.195371615692281,0.825408855784353
gene_50393,-1.44156643254875,0
gene_50405,-0.405523151741446,4.44089209850063e-16
gene_50426,0.627074501913508,0.0699099800486753
gene_50438,-0.715357003818545,0.486990789216129
gene_50748,-0.419390769560701,2.07753885483886e-06
gene_50767,1.23563944180381,0.0217022729075184
gene_50820,-0.753025429320646,0.0110421132671236
gene_51009,0.677836697648706,5.43232125949089e-13
gene_51108,-1.73452340749739,0
gene_51128,-1.30926088320729,2.10426898128446e-10
gene_51180,-3.78081537982721,6.43483044626691e-11
gene_51341,-4.09058237512977,0
gene_51382,-0.698809430106781,0
gene_51523,1.0889958586092,1.26581649204649e-05
gene_51596,-1.26347362681194,7.2692296626542e-11
gene_51620,0.572543620762015,0
gene_51825,-1.73392212685367,0
gene_52126,0.421575523567754,0.233921544796154
gene_52344,1.15185227469459,0.00193921421721654
gene_52723,-0.509230217299749,0
gene_52749,-0.303611588691046,0.596100175104996
gene_52795,0.132085000053459,0.840232674335534
gene_52802,-2.0564178993569,0
gene_52841,1.10432680155723,0
gene_53108,2.51428710599951,2.53492905666342e-07
gene_53254,0.588635895827451,0.0345322561735971
gene_53371,-0.870682567006813,2.61882164731553e-07
gene_53372,-1.52213447315822,1.77556002123325e-08
gene_53438,1.60182908825272,2.96507984831607e-09
gene_53501,-0.368010531551335,0.129569993028354
gene_53524,0.0196800939210844,0.884915343464907
gene_53702,0.262511224697537,0.699154588873297
gene_53747,-2.27053321872206,0
gene_53770,-0.37053545551096,0.000788003714459973
gene_53900,-0.164285931681668,0.543308143950712
gene_53918,2.80256009837788,0
gene_54116,-0.403254954048414,0.00130355951279493
gene_54118,-0.364688985781943,0.00610374019566007
gene_54148,-0.157620633899246,0.867301880995828
gene_54179,-0.398207805986969,0.0503090907392474
gene_54219,1.9318530363063,0.00115505316678444
gene_54267,0.675952527483844,0.0119715339174266
gene_54277,0.214794487990287,0.54280774991202
gene_54282,-1.01043395414226,7.36063537898346e-08
gene_54392,1.71336938457376,0
gene_54523,-0.188594945910622,0.0163350842062299
gene_54598,4.05812795769325,0
gene_54611,0.347402415199402,0.0140951667076785
